Country,Year,Spot_Price_72,Crude_oil_exports_52,Demand,Exports,Gas_Reserve,Imports,Production,Oil_demand_46,Oil_exports_dest_51,Refinery_capacity_41,Refinery_throughput_43,World_Production,ActiveRigs-table3.2,AccountBalance-table2.7,WellsCompleted-table3.3,Population-table2.1,petroleumExport-table2.5,GDP-table2.2,GDPGrowthRate-table2.3,ExportValue-table2.4,crudeOilReserve-table3.1,CrudeOilProdution-table3.5,bioFuelProdution-table3.7
Libya,2004,36.58,"1,284.50","5,931","2,130","1,491",,"8,060",233,,603,340,"8,060","36,904","36,904","36,904","36,904","36,904","36,904","36,904","36,904","36,904","36,904","36,904"
Nigeria,2004,38.27,"2,356.00","9,321","12,600","5,229",,"22,388",246,,445,111,"22,388","85,894","85,894","85,894","85,894","85,894","85,894","85,894","85,894","85,894","85,894","85,894"
Saudi Arabia,2004,34.53,"6,813.10","65,689",,"6,834",,"65,680","1,703",,"2,077","1,819","65,680","258,742","258,742","258,742","258,742","258,742","258,742","258,742","258,742","258,742","258,742","258,742"
United Arab Emirates,2004,36.65,"2,172.00","40,216","16,030","6,060","10,600","46,290",488,,675,574,"46,290","147,824","147,824","147,824","147,824","147,824","147,824","147,824","147,824","147,824","147,824","147,824"
Venezuela,2004,na,"1,561.90","27,204",,"4,287",0,"23,900",509,,"1,293","1,058","23,900","112,189","112,189","112,189","112,189","112,189","112,189","112,189","112,189","112,189","112,189","112,189"
OPEC,2004,36.05,"22,254.20","264,967","93,957","61,181","15,800","352,160","5,703",,,"6,863","352,160","1,054,929","1,054,929","1,054,929","1,054,929","1,054,929","1,054,929","1,054,929","1,054,929","1,054,929","1,054,929","1,054,929"
Algeria,2005,54.64,967.6,"23,968","64,266","4,504",,"89,235",252,,462,356,"89,235","103,081","103,081","103,081","103,081","103,081","103,081","103,081","103,081","103,081","103,081","103,081"
Angola,2005,51.33,946.9,650,0,270,,650,67,,80,41,650,"36,971","36,971","36,971","36,971","36,971","36,971","36,971","36,971","36,971","36,971","36,971"
Congo,2005,na,235.3,105,0,130,,105,3,,21,10,105,"6,654","6,654","6,654","6,654","6,654","6,654","6,654","6,654","6,654","6,654","6,654"
Equatorial Guinea,2005,51.34,275.1,"1,300",0,91,,"1,300",1,,,,"1,300","8,184","8,184","8,184","8,184","8,184","8,184","8,184","8,184","8,184","8,184","8,184"
Gabon,2005,na,248.8,100,,30,,100,23,,25,19,100,"9,474","9,474","9,474","9,474","9,474","9,474","9,474","9,474","9,474","9,474","9,474"
IR Iran,2005,47.99,"2,394.50","104,995","4,735","27,580","5,800","103,500","1,508",,"1,368",,"103,500","226,452","226,452","226,452","226,452","226,452","226,452","226,452","226,452","226,452","226,452","226,452"
Iraq,2005,48.33,"1,472.20","1,450",,"3,170",0,"1,450",496,,598,451,"1,450","49,955","49,955","49,955","49,955","49,955","49,955","49,955","49,955","49,955","49,955","49,955"
Kuwait,2005,48.66,"1,650.80","12,302",,"1,572",0,"12,300",337,,936,863,"12,300","80,807","80,807","80,807","80,807","80,807","80,807","80,807","80,807","80,807","80,807","80,807"
Libya,2005,52.62,"1,306.00","5,831","5,470","1,491",,"11,300",231,,603,355,"11,300","50,917","50,917","50,917","50,917","50,917","50,917","50,917","50,917","50,917","50,917","50,917"
Nigeria,2005,55.67,"2,325.90","10,361","12,000","5,152",,"22,400",263,,445,198,"22,400","112,963","112,963","112,963","112,963","112,963","112,963","112,963","112,963","112,963","112,963","112,963"
Saudi Arabia,2005,50.21,"7,208.90","71,250",,"6,900",,"71,240","1,825",,"2,091","1,797","71,240","328,206","328,206","328,206","328,206","328,206","328,206","328,206","328,206","328,206","328,206","328,206"
United Arab Emirates,2005,54.09,"2,195.00","41,256","16,340","6,060","10,600","47,790",496,,675,576,"47,790","180,617","180,617","180,617","180,617","180,617","180,617","180,617","180,617","180,617","180,617","180,617"
Venezuela,2005,40.53,"2,197.80","23,447",,"4,315",0,"23,444",573,,"1,294","1,131","23,444","143,290","143,290","143,290","143,290","143,290","143,290","143,290","143,290","143,290","143,290","143,290"
OPEC,2005,50.64,"23,424.80","297,016","102,811","61,266","16,400","384,814","6,075",,,"7,001","384,814","1,337,571","1,337,571","1,337,571","1,337,571","1,337,571","1,337,571","1,337,571","1,337,571","1,337,571","1,337,571","1,337,571"
Algeria,2006,66.05,947.2,"25,604","61,071","4,504",,"88,209",260,,449,382,"88,209","117,027","117,027","117,027","117,027","117,027","117,027","117,027","117,027","117,027","117,027","117,027"
Angola,2006,63.06,"1,010.30",680,0,270,,680,75,,80,41,680,"52,381","52,381","52,381","52,381","52,381","52,381","52,381","52,381","52,381","52,381","52,381"
Congo,2006,na,266,111,0,130,,111,3,,21,11,111,"8,073","8,073","8,073","8,073","8,073","8,073","8,073","8,073","8,073","8,073","8,073"
Equatorial Guinea,2006,62.07,249,"1,300",0,98,,"1,300",1,,,,"1,300","10,087","10,087","10,087","10,087","10,087","10,087","10,087","10,087","10,087","10,087","10,087"
Gabon,2006,na,221.3,100,,30,,100,28,,25,19,100,"10,163","10,163","10,163","10,163","10,163","10,163","10,163","10,163","10,163","10,163","10,163"
IR Iran,2006,59.27,"2,561.00","108,735","5,727","26,850","5,800","108,600","1,629",,"1,368",,"108,600","266,299","266,299","266,299","266,299","266,299","266,299","266,299","266,299","266,299","266,299","266,299"
Iraq,2006,57.97,"1,467.80","1,450",,"3,170",0,"1,450",506,,638,446,"1,450","64,805","64,805","64,805","64,805","64,805","64,805","64,805","64,805","64,805","64,805","64,805"
Kuwait,2006,58.88,"1,723.40","12,412",,"1,780",0,"12,410",315,,932,855,"12,410","101,559","101,559","101,559","101,559","101,559","101,559","101,559","101,559","101,559","101,559","101,559"
Libya,2006,63.35,"1,347.40","4,786","8,410","1,420",,"13,195",230,,603,336,"13,195","60,164","60,164","60,164","60,164","60,164","60,164","60,164","60,164","60,164","60,164","60,164"
Nigeria,2006,66.84,"2,248.40","10,922","17,580","5,207",,"28,500",238,,445,116,"28,500","144,732","144,732","144,732","144,732","144,732","144,732","144,732","144,732","144,732","144,732","144,732"
Saudi Arabia,2006,61.1,"7,029.40","73,470",,"7,154",,"73,461","1,956",,"2,136","1,877","73,461","376,398","376,398","376,398","376,398","376,398","376,398","376,398","376,398","376,398","376,398","376,398"
United Arab Emirates,2006,66.06,"2,420.30","43,096","16,780","6,040","11,100","48,790",533,,675,564,"48,790","222,117","222,117","222,117","222,117","222,117","222,117","222,117","222,117","222,117","222,117","222,117"
Venezuela,2006,52.01,"1,735.10","26,004",,"4,708",0,"20,340",636,,"1,295","1,022","20,340","177,531","177,531","177,531","177,531","177,531","177,531","177,531","177,531","177,531","177,531","177,531"
OPEC,2006,61.08,"23,226.50","308,670","109,568","61,361","16,900","397,146","6,410",,,"6,922","397,146","1,611,337","1,611,337","1,611,337","1,611,337","1,611,337","1,611,337","1,611,337","1,611,337","1,611,337","1,611,337","1,611,337"
Algeria,2007,74.66,"1,253.50","26,461","58,370","4,504",,"84,827",283,,475,391,"84,827","134,815","134,815","134,815","134,815","134,815","134,815","134,815","134,815","134,815","134,815","134,815"
Angola,2007,70.88,"1,157.60",830,0,270,,830,77,,80,42,830,"65,266","65,266","65,266","65,266","65,266","65,266","65,266","65,266","65,266","65,266","65,266"
Congo,2007,na,213.4,179,0,130,,179,4,,21,11,179,"8,784","8,784","8,784","8,784","8,784","8,784","8,784","8,784","8,784","8,784","8,784"
Equatorial Guinea,2007,70.4,242.4,"1,491","1,430",97,,"2,920",1,,,,"2,920","13,072","13,072","13,072","13,072","13,072","13,072","13,072","13,072","13,072","13,072","13,072"
Gabon,2007,na,227.4,80,,30,,80,32,,25,19,80,"12,457","12,457","12,457","12,457","12,457","12,457","12,457","12,457","12,457","12,457","12,457"
IR Iran,2007,67.06,"2,466.80","113,056","6,160","28,080","7,300","111,900","1,719",,"1,368",,"111,900","349,882","349,882","349,882","349,882","349,882","349,882","349,882","349,882","349,882","349,882","349,882"
Iraq,2007,66.4,"1,643.00","4,782",,"3,170",0,"4,782",489,,638,342,"4,782","86,125","86,125","86,125","86,125","86,125","86,125","86,125","86,125","86,125","86,125","86,125"
Kuwait,2007,66.35,"1,612.90","12,062",,"1,784",0,"11,260",303,,936,879,"11,260","114,677","114,677","114,677","114,677","114,677","114,677","114,677","114,677","114,677","114,677","114,677"
Libya,2007,71.41,"1,377.80","5,321","9,960","1,540",,"15,280",234,,603,318,"15,280","73,413","73,413","73,413","73,413","73,413","73,413","73,413","73,413","73,413","73,413","73,413"
Nigeria,2007,75.14,"2,217.10","10,602","21,900","5,292",,"32,500",219,,445,53,"32,500","175,110","175,110","175,110","175,110","175,110","175,110","175,110","175,110","175,110","175,110","175,110"
Saudi Arabia,2007,68.75,"6,962.10","74,431",,"7,305",,"74,420","2,074",,"2,130","1,825","74,420","415,687","415,687","415,687","415,687","415,687","415,687","415,687","415,687","415,687","415,687","415,687"
United Arab Emirates,2007,72.87,"2,342.70","49,177","17,320","6,072","16,150","50,290",569,,675,529,"50,290","257,916","257,916","257,916","257,916","257,916","257,916","257,916","257,916","257,916","257,916","257,916"
Venezuela,2007,61.8,"2,115.60","20,832",,"4,838",100,"20,729",676,,"1,296","1,166","20,729","221,817","221,817","221,817","221,817","221,817","221,817","221,817","221,817","221,817","221,817","221,817"
OPEC,2007,69.08,"23,832.40","319,303","115,140","63,113","23,550","409,998","6,678",,,"6,814","409,998","1,929,021","1,929,021","1,929,021","1,929,021","1,929,021","1,929,021","1,929,021","1,929,021","1,929,021","1,929,021","1,929,021"
Algeria,2008,98.96,840.9,"27,679","58,830","4,504",,"86,505",310,,597,429,"86,505","171,001","171,001","171,001","171,001","171,001","171,001","171,001","171,001","171,001","171,001","171,001"
Angola,2008,95.64,"1,044.50",680,0,272,,680,81,,80,33,680,"88,539","88,539","88,539","88,539","88,539","88,539","88,539","88,539","88,539","88,539","88,539"
Congo,2008,na,229.2,229,0,150,,229,5,,21,11,229,"11,649","11,649","11,649","11,649","11,649","11,649","11,649","11,649","11,649","11,649","11,649"
Equatorial Guinea,2008,94.68,253.7,"1,490","4,460",93,,"5,950",4,,,,"5,950","19,750","19,750","19,750","19,750","19,750","19,750","19,750","19,750","19,750","19,750","19,750"
Gabon,2008,na,219.2,80,,29,,80,31,,25,19,80,"15,582","15,582","15,582","15,582","15,582","15,582","15,582","15,582","15,582","15,582","15,582"
IR Iran,2008,91.49,"2,431.40","119,307","4,110","29,610","7,100","116,300","1,814",,"1,368",,"116,300","406,071","406,071","406,071","406,071","406,071","406,071","406,071","406,071","406,071","406,071","406,071"
Iraq,2008,92.08,"1,900.40","6,798",,"3,170",0,"6,798",480,,658,476,"6,798","130,204","130,204","130,204","130,204","130,204","130,204","130,204","130,204","130,204","130,204","130,204"
Kuwait,2008,91.16,"1,738.50","12,702",,"1,784",0,"12,700",324,,936,863,"12,700","147,402","147,402","147,402","147,402","147,402","147,402","147,402","147,402","147,402","147,402","147,402"
Libya,2008,96.65,"1,399.50","5,501","10,400","1,540",,"15,900",253,,634,329,"15,900","95,328","95,328","95,328","95,328","95,328","95,328","95,328","95,328","95,328","95,328","95,328"
Nigeria,2008,100.6,"2,092.30","12,277","20,550","5,292",,"32,825",243,,445,113,"32,825","204,911","204,911","204,911","204,911","204,911","204,911","204,911","204,911","204,911","204,911","204,911"
Saudi Arabia,2008,95.16,"7,301.70","80,451",,"7,570",,"80,440","2,252",,"2,135","1,812","80,440","519,797","519,797","519,797","519,797","519,797","519,797","519,797","519,797","519,797","519,797","519,797"
United Arab Emirates,2008,99.03,"2,328.10","57,828","15,740","6,091","24,970","50,240",598,,675,493,"50,240","315,475","315,475","315,475","315,475","315,475","315,475","315,475","315,475","315,475","315,475","315,475"
Venezuela,2008,86.73,"1,764.80","22,253",,"4,983",150,"20,750",650,,"1,925","1,269","20,750","289,741","289,741","289,741","289,741","289,741","289,741","289,741","289,741","289,741","289,741","289,741"
OPEC,2008,94.45,"23,544.20","347,275","114,090","65,088","32,220","429,396","7,044",,,"7,142","429,396","2,415,450","2,415,450","2,415,450","2,415,450","2,415,450","2,415,450","2,415,450","2,415,450","2,415,450","2,415,450","2,415,450"
Algeria,2009,62.35,747.5,"28,760","52,670","4,504",,"81,426",315,,592,475,"81,426","137,235","137,235","137,235","137,235","137,235","137,235","137,235","137,235","137,235","137,235","137,235"
Angola,2009,61.81,"1,770.40",690,0,275,,690,83,,80,45,690,"70,307","70,307","70,307","70,307","70,307","70,307","70,307","70,307","70,307","70,307","70,307"
Congo,2009,na,260,327,0,180,,328,5,,21,11,328,"9,713","9,713","9,713","9,713","9,713","9,713","9,713","9,713","9,713","9,713","9,713"
Equatorial Guinea,2009,61.29,231,"1,550","4,720",84,,"6,270",2,,,,"6,270","15,028","15,028","15,028","15,028","15,028","15,028","15,028","15,028","15,028","15,028","15,028"
Gabon,2009,na,227,80,,29,,80,31,,25,19,80,"12,184","12,184","12,184","12,184","12,184","12,184","12,184","12,184","12,184","12,184","12,184"
IR Iran,2009,60.62,"2,232.00","141,417","5,670","29,610","5,800","175,742","1,859",,"1,368",,"175,742","414,059","414,059","414,059","414,059","414,059","414,059","414,059","414,059","414,059","414,059","414,059"
Iraq,2009,60.5,"1,906.00","7,213",,"3,170",0,"7,213",535,,818,417,"7,213","110,968","110,968","110,968","110,968","110,968","110,968","110,968","110,968","110,968","110,968","110,968"
Kuwait,2009,60.68,"1,348.30","11,411",,"1,784",890,"11,489",329,,936,869,"11,489","105,992","105,992","105,992","105,992","105,992","105,992","105,992","105,992","105,992","105,992","105,992"
Libya,2009,61.45,"1,265.20","6,012","9,890","1,549",,"15,900",273,,634,330,"15,900","68,837","68,837","68,837","68,837","68,837","68,837","68,837","68,837","68,837","68,837","68,837"
Nigeria,2009,63.25,"2,160.20","9,846","15,990","5,292",,"23,206",233,,445,46,"23,206","166,538","166,538","166,538","166,538","166,538","166,538","166,538","166,538","166,538","166,538","166,538"
Saudi Arabia,2009,61.38,"6,267.60","78,461",,"7,920",,"78,450","2,362",,"2,109","1,817","78,450","429,098","429,098","429,098","429,098","429,098","429,098","429,098","429,098","429,098","429,098","429,098"
United Arab Emirates,2009,63.78,"1,953.40","59,064","12,200","6,091","25,450","48,840",565,,675,492,"48,840","253,547","253,547","253,547","253,547","253,547","253,547","253,547","253,547","253,547","253,547","253,547"
Venezuela,2009,55.9,"1,608.40","20,233",,"5,065","1,800","18,430",680,,"2,011","1,225","18,430","237,294","237,294","237,294","237,294","237,294","237,294","237,294","237,294","237,294","237,294","237,294"
OPEC,2009,61.06,"21,976.70","365,064","101,140","65,553","33,940","468,064","7,273",,,"7,067","468,064","2,030,800","2,030,800","2,030,800","2,030,800","2,030,800","2,030,800","2,030,800","2,030,800","2,030,800","2,030,800","2,030,800"
Algeria,2010,80.35,708.8,"29,014","57,359","4,504",,"84,615",344,,592,567,"84,615","161,197","161,197","161,197","161,197","161,197","161,197","161,197","161,197","161,197","161,197","161,197"
Angola,2010,79.53,"1,710.70",733,0,275,,733,88,,80,36,733,"83,800","83,800","83,800","83,800","83,800","83,800","83,800","83,800","83,800","83,800","83,800"
Congo,2010,na,287.6,573,0,182,,575,6,,21,13,575,"13,159","13,159","13,159","13,159","13,159","13,159","13,159","13,159","13,159","13,159","13,159"
Equatorial Guinea,2010,79.19,206.4,"1,580","4,960",82,,"6,540",4,,,,"6,540","16,299","16,299","16,299","16,299","16,299","16,299","16,299","16,299","16,299","16,299","16,299"
Gabon,2010,na,225.3,80,,28,,80,37,,25,19,80,"14,385","14,385","14,385","14,385","14,385","14,385","14,385","14,385","14,385","14,385","14,385"
IR Iran,2010,76.74,"2,247.70","144,600","8,429","33,090","7,243","187,357","1,820",,"1,715",,"187,357","487,070","487,070","487,070","487,070","487,070","487,070","487,070","487,070","487,070","487,070","487,070"
Iraq,2010,76.79,"1,890.40","7,511",,"3,158",0,"7,511",569,,810,527,"7,511","138,517","138,517","138,517","138,517","138,517","138,517","138,517","138,517","138,517","138,517","138,517"
Kuwait,2010,76.32,"1,429.60","14,515",,"1,784",890,"11,733",336,,936,883,"11,733","115,401","115,401","115,401","115,401","115,401","115,401","115,401","115,401","115,401","115,401","115,401"
Libya,2010,79.13,"1,299.30","7,065","9,970","1,495",,"16,814",306,,634,369,"16,814","75,783","75,783","75,783","75,783","75,783","75,783","75,783","75,783","75,783","75,783","75,783"
Nigeria,2010,81.07,"2,464.10","5,031","23,650","5,178",,"28,099",271,,445,73,"28,099","363,361","363,361","363,361","363,361","363,361","363,361","363,361","363,361","363,361","363,361","363,361"
Saudi Arabia,2010,77.82,"6,644.10","87,672",,"8,016",,"87,660","2,599",,"2,109","1,744","87,660","528,207","528,207","528,207","528,207","528,207","528,207","528,207","528,207","528,207","528,207","528,207"
United Arab Emirates,2010,79.94,"2,104.00","60,799","13,110","6,091","25,705","51,282",591,,675,571,"51,282","289,880","289,880","289,880","289,880","289,880","289,880","289,880","289,880","289,880","289,880","289,880"
Venezuela,2010,69.7,"1,562.00","21,177",,"5,525","1,446","19,728",675,,"1,997","1,418","19,728","294,282","294,282","294,282","294,282","294,282","294,282","294,282","294,282","294,282","294,282","294,282"
OPEC,2010,77.45,"22,780.10","380,351","117,478","69,408","35,284","502,727","7,645",,,"7,733","502,727","2,581,341","2,581,341","2,581,341","2,581,341","2,581,341","2,581,341","2,581,341","2,581,341","2,581,341","2,581,341","2,581,341"
Algeria,2011,112.92,842.9,"32,882","52,017","4,504",,"82,767",329,,592,566,"82,767","200,245","200,245","200,245","200,245","200,245","200,245","200,245","200,245","200,245","200,245","200,245"
Angola,2011,111.57,"1,545.60",752,0,275,,752,84,,80,41,752,"111,790","111,790","111,790","111,790","111,790","111,790","111,790","111,790","111,790","111,790","111,790"
Congo,2011,na,264.3,711,0,214,,712,6,,21,12,712,"15,653","15,653","15,653","15,653","15,653","15,653","15,653","15,653","15,653","15,653","15,653"
Equatorial Guinea,2011,111.89,191.1,"1,620","5,260",78,,"6,880",4,,,,"6,880","21,329","21,329","21,329","21,329","21,329","21,329","21,329","21,329","21,329","21,329","21,329"
Gabon,2011,na,235.3,70,,27,,70,39,,25,19,70,"18,203","18,203","18,203","18,203","18,203","18,203","18,203","18,203","18,203","18,203","18,203"
IR Iran,2011,106.11,"2,537.30","153,362","9,114","33,620","11,659","188,753","1,784",,"1,715",,"188,753","583,500","583,500","583,500","583,500","583,500","583,500","583,500","583,500","583,500","583,500","583,500"
Iraq,2011,106.17,"2,165.70","6,634",,"3,158",0,"6,634",628,,810,550,"6,634","185,750","185,750","185,750","185,750","185,750","185,750","185,750","185,750","185,750","185,750","185,750"
Kuwait,2011,105.63,"1,816.10","16,995",,"1,784",688,"13,533",331,,936,843,"13,533","154,020","154,020","154,020","154,020","154,020","154,020","154,020","154,020","154,020","154,020","154,020"
Libya,2011,111.9,299.5,"5,436","3,666","1,547",,"7,855",221,,634,126,"7,855","32,211","32,211","32,211","32,211","32,211","32,211","32,211","32,211","32,211","32,211","32,211"
Nigeria,2011,114.15,"2,377.00","5,401","25,941","5,176",,"41,323",311,,445,73,"41,323","402,561","402,561","402,561","402,561","402,561","402,561","402,561","402,561","402,561","402,561","402,561"
Saudi Arabia,2011,107.82,"7,218.10","92,273",,"8,151",,"92,260","2,888",,"2,107","1,827","92,260","671,239","671,239","671,239","671,239","671,239","671,239","671,239","671,239","671,239","671,239","671,239"
United Arab Emirates,2011,109.77,"2,457.00","62,897","12,770","6,091","28,275","52,308",618,,675,635,"52,308","350,908","350,908","350,908","350,908","350,908","350,908","350,908","350,908","350,908","350,908","350,908"
Venezuela,2011,97.94,"1,553.40","22,569",,"5,528","1,797","20,769",742,,"2,047","1,442","20,769","334,069","334,069","334,069","334,069","334,069","334,069","334,069","334,069","334,069","334,069","334,069"
OPEC,2011,107.46,"23,503.20","401,601","108,768","70,153","42,419","514,615","7,987",,,"7,686","514,615","3,081,477","3,081,477","3,081,477","3,081,477","3,081,477","3,081,477","3,081,477","3,081,477","3,081,477","3,081,477","3,081,477"
Algeria,2012,111.49,808.6,"36,295","54,594","4,504",,"86,454",351,808.6,592,499,"86,454","209,005","209,005","209,005","209,005","209,005","209,005","209,005","209,005","209,005","209,005","209,005"
Angola,2012,112.21,"1,663.30",760,0,275,,760,85,"1,663.30",80,39,760,"128,053","128,053","128,053","128,053","128,053","128,053","128,053","128,053","128,053","128,053","128,053"
Congo,2012,na,252,714,0,224,,724,6,252,21,17,724,"17,704","17,704","17,704","17,704","17,704","17,704","17,704","17,704","17,704","17,704","17,704"
Equatorial Guinea,2012,112.03,221.5,"1,580","5,790",71,,"7,370",4,221.5,,,"7,370","22,390","22,390","22,390","22,390","22,390","22,390","22,390","22,390","22,390","22,390","22,390"
Gabon,2012,na,224,110,,26,,110,40,224,25,19,110,"17,181","17,181","17,181","17,181","17,181","17,181","17,181","17,181","17,181","17,181","17,181"
IR Iran,2012,109.06,"2,102.00","157,291","9,152","33,780","6,720","202,431","1,765","2,102.00","1,715",,"202,431","598,853","598,853","598,853","598,853","598,853","598,853","598,853","598,853","598,853","598,853","598,853"
Iraq,2012,107.96,"2,423.40","6,675",,"3,158",0,"6,675",665,"2,423.40",820,586,"6,675","218,032","218,032","218,032","218,032","218,032","218,032","218,032","218,032","218,032","218,032","218,032"
Kuwait,2012,108.93,"2,070.00","16,205",,"1,784",688,"15,515",377,"2,070.00",936,878,"15,515","174,066","174,066","174,066","174,066","174,066","174,066","174,066","174,066","174,066","174,066","174,066"
Libya,2012,111.86,"1,239.50","5,731","6,225","1,549",,"16,070",220,"1,239.50",634,152,"16,070","80,960","80,960","80,960","80,960","80,960","80,960","80,960","80,960","80,960","80,960","80,960"
Nigeria,2012,113.66,"2,368.00","14,307","28,266","5,118",,"42,571",344,"2,368.00",446,85,"42,571","461,448","461,448","461,448","461,448","461,448","461,448","461,448","461,448","461,448","461,448","461,448"
Saudi Arabia,2012,110.22,"7,556.80","99,344",,"8,235",,"99,330","3,056","7,556.80","2,107","1,726","99,330","735,975","735,975","735,975","735,975","735,975","735,975","735,975","735,975","735,975","735,975","735,975"
United Arab Emirates,2012,111.76,"2,445.20","65,329","11,420","6,091","28,201","54,300",638,"2,445.20",675,637,"54,300","374,818","374,818","374,818","374,818","374,818","374,818","374,818","374,818","374,818","374,818","374,818"
Venezuela,2012,100.06,"1,724.80","24,606",,"5,563","1,877","22,726",786,"1,724.80","2,047","1,316","22,726","331,457","331,457","331,457","331,457","331,457","331,457","331,457","331,457","331,457","331,457","331,457"
OPEC,2012,109.45,"25,098.90","428,948","115,447","70,378","37,486","555,036","8,336","25,098.90",,"7,735","555,036","3,369,941","3,369,941","3,369,941","3,369,941","3,369,941","3,369,941","3,369,941","3,369,941","3,369,941","3,369,941","3,369,941"
Algeria,2013,109.38,744,"36,655","46,708","4,504",,"79,647",377,744,651,518,"79,647","209,722","209,722","209,722","209,722","209,722","209,722","209,722","209,722","209,722","209,722","209,722"
Angola,2013,109.14,"1,669.40",925,517,275,,925,149,"1,669.40",80,33,925,"136,710","136,710","136,710","136,710","136,710","136,710","136,710","136,710","136,710","136,710","136,710"
Congo,2013,na,240.7,"1,025",0,254,,"1,027",7,240.7,21,18,"1,027","17,959","17,959","17,959","17,959","17,959","17,959","17,959","17,959","17,959","17,959","17,959"
Equatorial Guinea,2013,109.21,206.7,"1,470","6,074",66,,"8,409",4,206.7,,,"8,409","21,943","21,943","21,943","21,943","21,943","21,943","21,943","21,943","21,943","21,943","21,943"
Gabon,2013,na,207.5,380,,26,,380,44,207.5,25,19,380,"17,596","17,596","17,596","17,596","17,596","17,596","17,596","17,596","17,596","17,596","17,596"
IR Iran,2013,105.73,"1,215.40","157,337","9,307","34,020","5,090","199,293","1,776","1,215.40","1,715",,"199,293","467,415","467,415","467,415","467,415","467,415","467,415","467,415","467,415","467,415","467,415","467,415"
Iraq,2013,103.6,"2,390.40","5,992",,"3,158",0,"7,445",715,"2,390.40",830,602,"7,445","236,438","236,438","236,438","236,438","236,438","236,438","236,438","236,438","236,438","236,438","236,438"
Kuwait,2013,105.04,"2,058.50","16,884",,"1,784","3,517","16,311",388,"2,058.50",936,864,"16,311","174,179","174,179","174,179","174,179","174,179","174,179","174,179","174,179","174,179","174,179","174,179"
Libya,2013,108.51,836.1,"6,488","5,513","1,506",,"16,990",250,836.1,634,140,"16,990","67,864","67,864","67,864","67,864","67,864","67,864","67,864","67,864","67,864","67,864","67,864"
Nigeria,2013,111.36,"2,193.00","15,693","24,543","5,107",,"38,411",385,"2,193.00",446,95,"38,411","509,134","509,134","509,134","509,134","509,134","509,134","509,134","509,134","509,134","509,134","509,134"
Saudi Arabia,2013,106.53,"7,570.70","100,030",,"8,317",,"100,030","3,049","7,570.70","2,512","1,577","100,030","746,647","746,647","746,647","746,647","746,647","746,647","746,647","746,647","746,647","746,647","746,647"
United Arab Emirates,2013,108.21,"2,701.40","66,699","9,698","6,091","29,047","54,600",665,"2,701.40",705,650,"54,600","390,108","390,108","390,108","390,108","390,108","390,108","390,108","390,108","390,108","390,108","390,108"
Venezuela,2013,96.66,"1,528.00","23,643",,"5,581","1,821","21,820",831,"1,528.00","2,047","1,394","21,820","234,401","234,401","234,401","234,401","234,401","234,401","234,401","234,401","234,401","234,401","234,401"
OPEC,2013,105.87,"23,561.70","433,223","102,360","70,689","39,475","545,288","8,640","23,561.70",,"7,764","545,288","3,230,116","3,230,116","3,230,116","3,230,116","3,230,116","3,230,116","3,230,116","3,230,116","3,230,116","3,230,116","3,230,116"
Algeria,2014,99.68,622.9,"37,498","44,190","4,504",,"83,296",389,622.9,651,628,"83,296","213,947","213,947","213,947","213,947","213,947","213,947","213,947","213,947","213,947","213,947","213,947"
Angola,2014,99.19,"1,607.90",732,0,308,,732,147,"1,607.90",80,32,732,"145,712","145,712","145,712","145,712","145,712","145,712","145,712","145,712","145,712","145,712","145,712"
Congo,2014,na,260.9,918,0,285,,928,7,260.9,21,17,928,"17,918","17,918","17,918","17,918","17,918","17,918","17,918","17,918","17,918","17,918","17,918"
Equatorial Guinea,2014,98.28,196.7,"1,439","6,173",60,,"8,234",7,196.7,,,"8,234","21,462","21,462","21,462","21,462","21,462","21,462","21,462","21,462","21,462","21,462","21,462"
Gabon,2014,na,207.4,550,,26,,550,44,207.4,25,19,550,"18,209","18,209","18,209","18,209","18,209","18,209","18,209","18,209","18,209","18,209","18,209"
IR Iran,2014,96.18,"1,109.20","174,600","8,360","34,020","4,422","212,796","1,846","1,109.20","1,781",,"212,796","443,976","443,976","443,976","443,976","443,976","443,976","443,976","443,976","443,976","443,976","443,976"
Iraq,2014,94.45,"2,515.50","6,839",,"3,158",0,"7,927",680,"2,515.50",900,495,"7,927","228,416","228,416","228,416","228,416","228,416","228,416","228,416","228,416","228,416","228,416","228,416"
Kuwait,2014,95.32,"1,994.80","18,490",,"1,784","3,025","15,029",391,"1,994.80",936,872,"15,029","162,696","162,696","162,696","162,696","162,696","162,696","162,696","162,696","162,696","162,696","162,696"
Libya,2014,98.51,329.4,"5,940","4,962","1,505",,"16,590",222,329.4,634,96,"16,590","36,143","36,143","36,143","36,143","36,143","36,143","36,143","36,143","36,143","36,143","36,143"
Nigeria,2014,100.85,"2,120.10","18,370","26,778","5,324",,"43,842",396,"2,120.10",446,59,"43,842","561,603","561,603","561,603","561,603","561,603","561,603","561,603","561,603","561,603","561,603","561,603"
Saudi Arabia,2014,97.18,"7,153.50","102,380",,"8,489",,"102,380","3,205","7,153.50","2,934","1,997","102,380","756,350","756,350","756,350","756,350","756,350","756,350","756,350","756,350","756,350","756,350","756,350"
United Arab Emirates,2014,99.45,"2,496.70","66,500","9,628","6,091","25,800","54,245",719,"2,496.70",705,635,"54,245","403,137","403,137","403,137","403,137","403,137","403,137","403,137","403,137","403,137","403,137","403,137"
