Country,Year,Spot_Price_72,Crude_oil_exports_52,Demand,Exports,Gas_Reserve,Imports,Production,Oil_demand_46,Oil_exports_dest_51,Refinery_capacity_41,Refinery_throughput_43,World_Production,ActiveRigs-table3.2,AccountBalance-table2.7,WellsCompleted-table3.3,Population-table2.1,petroleumExport-table2.5,GDP-table2.2,GDPGrowthRate-table2.3,ExportValue-table2.4,crudeOilReserve-table3.1,CrudeOilProdution-table3.5,bioFuelProdution-table3.7
Saudi Arabia,1989,16.21,"3,335.50","29,804",,"5,218",,"29,800",851,,"1,750","1,448","29,800","95,217","95,217","95,217","95,217","95,217","95,217","95,217","95,217","95,217","95,217","95,217"
United Arab Emirates,1989,16.61,"1,589.00","19,873","6,210","5,650","3,100","22,380",300,,180,163,"22,380","41,448","41,448","41,448","41,448","41,448","41,448","41,448","41,448","41,448","41,448","41,448"
Venezuela,1989,na,986.3,"21,765",,"2,993",0,"19,538",407,,"1,288",769,"19,538","44,672","44,672","44,672","44,672","44,672","44,672","44,672","44,672","44,672","44,672","44,672"
OPEC,1989,17.31,"14,531.20","136,845","37,060","42,825","6,700","168,570","3,677",,,"5,038","168,570","462,227","462,227","462,227","462,227","462,227","462,227","462,227","462,227","462,227","462,227","462,227"
Algeria,1990,24.34,280.6,"19,938","31,330","3,300",,"51,600",196,,475,421,"51,600","61,841","61,841","61,841","61,841","61,841","61,841","61,841","61,841","61,841","61,841","61,841"
Angola,1990,na,439,540,0,50,,540,31,,47,37,540,"11,236","11,236","11,236","11,236","11,236","11,236","11,236","11,236","11,236","11,236","11,236"
Congo,1990,na,152.7,0,0,77,,0,2,,21,9,0,"2,799","2,799","2,799","2,799","2,799","2,799","2,799","2,799","2,799","2,799","2,799"
Equatorial Guinea,1990,na,0,0,0,11,,0,1,,,,0,133,133,133,133,133,133,133,133,133,133,133
Gabon,1990,na,255,85,,12,,100,11,,25,19,100,"6,339","6,339","6,339","6,339","6,339","6,339","6,339","6,339","6,339","6,339","6,339"
IR Iran,1990,19.91,"2,220.00","23,704","1,500","17,003",0,"24,200","1,022",,732,,"24,200","91,941","91,941","91,941","91,941","91,941","91,941","91,941","91,941","91,941","91,941","91,941"
